"hrsrelax","mntlhlth","hrs1","degree","grass"
2,3,55,"BACHELOR",NA
4,6,45,"BACHELOR","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
3,0,45,"JUNIOR COLLEGE",NA
NA,NA,NA,"JUNIOR COLLEGE",NA
0,0,40,"HIGH SCHOOL","NOT LEGAL"
5,10,48,"HIGH SCHOOL",NA
5,0,26,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL",NA
3,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,5,50,"BACHELOR","NOT LEGAL"
5,0,40,"HIGH SCHOOL","NOT LEGAL"
10,0,25,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
0,0,20,"GRADUATE",NA
2,15,89,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,30,25,"JUNIOR COLLEGE","LEGAL"
1,10,40,"BACHELOR",NA
4,0,20,"BACHELOR","LEGAL"
6,0,20,"GRADUATE","LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"BACHELOR",NA
6,0,60,"HIGH SCHOOL",NA
5,0,40,"GRADUATE","LEGAL"
NA,0,3,"BACHELOR","LEGAL"
4,0,40,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"GRADUATE",NA
3,5,40,"BACHELOR","LEGAL"
3,5,35,"GRADUATE","LEGAL"
4,0,24,"HIGH SCHOOL",NA
3,0,60,"GRADUATE","LEGAL"
NA,NA,34,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL",NA
2,10,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
5,0,50,"HIGH SCHOOL","LEGAL"
2,0,50,"HIGH SCHOOL",NA
0,0,32,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,NA,40,"BACHELOR","LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
2,15,46,"LT HIGH SCHOOL","NOT LEGAL"
2,0,36,"BACHELOR","NOT LEGAL"
4,0,30,"HIGH SCHOOL","NOT LEGAL"
6,5,40,"BACHELOR",NA
3,0,40,"BACHELOR","NOT LEGAL"
3,0,36,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
4,1,40,"BACHELOR",NA
3,0,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,0,48,"HIGH SCHOOL","LEGAL"
6,3,35,"GRADUATE","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
3,0,50,"JUNIOR COLLEGE",NA
5,0,20,"JUNIOR COLLEGE","LEGAL"
2,20,50,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL",NA
1,4,68,"HIGH SCHOOL",NA
8,30,50,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,3,40,"GRADUATE",NA
8,0,35,"HIGH SCHOOL","NOT LEGAL"
1,0,20,"JUNIOR COLLEGE","LEGAL"
3,3,9,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
4,0,40,"BACHELOR","NOT LEGAL"
4,0,52,"BACHELOR",NA
2,15,35,"HIGH SCHOOL","NOT LEGAL"
2,5,40,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
2,0,30,"LT HIGH SCHOOL","NOT LEGAL"
2,0,41,"BACHELOR",NA
0,0,40,"BACHELOR",NA
4,0,35,"LT HIGH SCHOOL","NOT LEGAL"
1,4,38,"JUNIOR COLLEGE",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,NA,70,"BACHELOR","NOT LEGAL"
2,0,35,"HIGH SCHOOL",NA
NA,0,48,"HIGH SCHOOL",NA
4,0,9,"GRADUATE","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
2,0,32,"HIGH SCHOOL",NA
2,NA,35,"HIGH SCHOOL","NOT LEGAL"
3,0,50,"HIGH SCHOOL",NA
2,0,65,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
8,30,7,"GRADUATE",NA
4,0,24,"BACHELOR",NA
3,0,60,"BACHELOR",NA
2,3,40,"GRADUATE",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
4,30,40,"GRADUATE",NA
2,0,30,"HIGH SCHOOL",NA
3,1,50,"GRADUATE","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
4,0,40,"BACHELOR","NOT LEGAL"
4,0,24,"HIGH SCHOOL","LEGAL"
3,NA,45,"GRADUATE","NOT LEGAL"
2,0,12,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
5,4,30,"HIGH SCHOOL","NOT LEGAL"
1,0,30,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
5,1,40,"HIGH SCHOOL","LEGAL"
18,0,15,"HIGH SCHOOL",NA
4,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
2,0,89,"BACHELOR",NA
3,0,30,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
2,20,40,"LT HIGH SCHOOL",NA
8,0,40,"LT HIGH SCHOOL","NOT LEGAL"
4,2,50,"GRADUATE","LEGAL"
1,2,50,"LT HIGH SCHOOL","LEGAL"
14,0,32,"LT HIGH SCHOOL",NA
6,1,40,"HIGH SCHOOL","LEGAL"
2,1,24,"HIGH SCHOOL",NA
2,0,60,"HIGH SCHOOL","NOT LEGAL"
3,0,24,"GRADUATE",NA
2,2,50,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
12,0,20,"HIGH SCHOOL","LEGAL"
2,0,45,"BACHELOR",NA
1,3,40,"GRADUATE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
